Geography,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate,TARGET_deathRate,City,State,Region,Division
"Linn County, Oregon",0.5638432364096081,0.8260038240917782,0.43348436158958914,0.7855569799973917,0.5362563237774032,0.03954615871989497,0.5503999999999999,3,0.5559322033898304,0.5560675883256528,0.8632375996530905,0.6471226927252984,0.511318242343542,0.5968858131487889,1.0,0.23343848580441645,0.5119825708061002,0.40169133192389006,0.5784148397976391,0.6538461538461539,0.5714285714285714,0.5429362880886428,0.49307479224376727,0.6480686695278969,0.6100151745068284,0.9182679875877204,0.017668521321235094,0.45660334881947423,0.24492401538110825,0.6583413888394594,0.4969950515500475,0.41834378093038604,0.7472512601914817,139,32,3,5
"Champaign County, Illinois",0.6531816266329541,0.8076481835564053,0.50549889223768,1.108948474849306,0.6543001686340643,0.9618570674009376,0.22399999999999998,4,0.19661016949152543,0.25806451612903225,0.7865172287267754,0.35179153094462534,0.11451398135818909,0.24740484429065743,1.0,0.9022082018927446,0.3333333333333333,0.8372093023255813,0.7082630691399662,0.3910256410256411,0.7857142857142858,0.9196675900277009,0.7571560480147738,0.28755364806866945,0.33080424886191195,0.7036090668229338,0.507882533319422,0.980500419092255,0.1936577280848696,0.38238041678000423,0.369846056424833,0.3061695809963708,0.67363577928888,40,8,0,0
"Saratoga County, New York",0.9334176148335441,1.0738049713193116,0.9829145126843776,1.108948474849306,0.1349072512647555,0.12642276770810085,0.6239999999999998,8,0.6271186440677965,0.6328725038402457,0.8065312385336403,0.6710097719869705,0.31691078561917446,0.4498269896193771,1.0,0.8517350157728708,0.40087145969498905,0.8668076109936573,0.7622259696458683,0.35897435897435903,0.8614285714285714,0.9289012003693446,0.8753462603878114,0.34120171673819744,0.2610015174506828,0.9314061441531047,0.0650159167373761,0.8853270335259984,0.07784625419186007,0.6803588313375477,0.48224694833465936,0.3777631144836687,0.8319631922595488,228,27,1,2
"Montmorency County, Michigan",0.06911083017277707,0.10401529636711282,0.3058022793956209,0.05531536896187718,0.4215851602023609,0.0,0.9615999999999995,1,0.9593220338983048,0.987711213517665,0.74982487741419,0.6167209554831705,0.8601864181091877,0.45501730103806226,1.0,0.220820189274448,0.7494553376906317,0.18181818181818177,0.311973018549747,1.0000000000000002,0.55,0.31763619575253926,0.2585410895660203,0.8991416309012874,0.558421851289833,0.9671885598261225,0.014591786200943454,0.0,0.06738148811712356,0.5990901694356641,0.3480741949818511,0.487957769712966,0.7661964207178865,172,17,0,0
"Barrow County, Georgia",0.23177412557943533,0.3395793499043977,0.5400690604977946,0.4891177838419083,0.330522765598651,0.0,0.3999999999999998,5,0.35593220338983045,0.4270353302611368,0.9916608292471398,0.6275787187839306,0.6657789613848203,0.662629757785467,1.0,0.1324921135646688,0.5991285403050108,0.3805496828752642,0.6981450252951096,0.6217948717948718,0.5685714285714285,0.6759002770083105,0.6075715604801476,0.371244635193133,0.4764795144157814,0.7829199351998526,0.4671545799004915,0.980500419092255,0.39116924355184696,0.735752128801654,0.5672922665423098,0.4364896073903003,0.6939341655671708,8,6,2,6
"Campbell County, Wyoming",0.11799410029498525,0.1682600382409178,1.0280433524280954,0.3175285906802134,0.1315345699831366,0.0,0.3327999999999999,8,0.3389830508474576,0.3256528417818739,0.8965942826645319,0.7274701411509228,0.4873501997336885,0.6505190311418685,1.0,0.36593059936908523,0.5860566448801742,0.5158562367864692,0.9443507588532881,0.23076923076923078,0.7814285714285714,0.9861495844875348,0.9529085872576174,0.10515021459227472,0.1881638846737481,0.9284257746443543,0.03193216369111262,0.23700626479809175,0.3900290601477111,0.7577139541135618,0.5543281807037811,0.5153414714615638,0.6365573936872021,35,45,3,3
"Big Stone County, Minnesota",0.9334176148335441,0.048948374760994263,0.4761382008343148,0.02763143756802667,0.32377740303541325,0.0,0.8607999999999997,4,0.8542372881355931,0.8632872503840247,0.7198038627038928,0.8707926167209554,0.9813581890812252,0.3581314878892733,1.0,0.3848580441640379,0.7603485838779955,0.4608879492600423,0.6745362563237773,0.1858974358974359,0.7685714285714285,0.6980609418282551,0.40258541089566013,0.5901287553648068,0.3732928679817906,0.9780928900814829,0.007858646062089518,0.029068522227899463,0.023134496825579668,0.7622284662859939,0.7566996264233044,0.39030023094688227,0.6827008277681926,18,18,0,7
"Santa Cruz County, California",0.9334176148335441,1.0738049713193116,0.8306620626334805,1.108948474849306,0.43507588532883656,0.39995085934795777,0.4703999999999998,8,0.4576271186440677,0.4915514592933946,0.8999299509656762,0.4733984799131379,0.2263648468708389,0.37889273356401376,1.0,0.5488958990536278,0.17429193899782136,0.8752642706131076,0.7048903878583473,0.46153846153846156,0.657142857142857,0.744228993536473,0.5927977839335179,0.40128755364806856,0.46130500758725335,0.7833582111430668,0.037982249632903316,0.980500419092255,0.8307159894862614,0.570395774160074,0.48419236631472456,0.2827449686572089,0.6741770695896344,225,2,3,5
"Hays County, Texas",0.4289928360724821,0.5659655831739961,0.7370910760264268,1.108948474849306,0.48229342327150093,0.14687876990799403,0.2751999999999999,7,0.2677966101694915,0.28878648233486937,0.9199439607725408,0.49294245385450586,0.1837549933422104,0.3200692041522491,1.0,0.5236593059936909,0.30283224400871456,0.9556025369978857,0.7554806070826307,0.4038461538461539,0.72,0.8513388734995384,0.7276084949215141,0.2017167381974249,0.24279210925644915,0.8306890464457088,0.1423556276094176,0.5269826702352294,0.8307159894862614,0.5947499413385073,0.44876878950678273,0.2962718574727813,0.5372306234987653,109,38,2,8
"Richland County, South Carolina",0.9334176148335441,1.0738049713193116,0.5417456737390471,1.108948474849306,0.43507588532883656,0.9134956601955638,0.3327999999999999,5,0.29491525423728815,0.37788018433179726,0.8365522532439374,0.3387622149837134,0.22370173102529964,0.472318339100346,1.0,0.637223974763407,0.326797385620915,0.828752642706131,0.6745362563237773,0.576923076923077,0.6742857142857142,0.6048711650028749,0.5909510618651892,0.4055793991416309,0.4188163884673747,0.408608605864019,1.1416166493104638,0.980500419092255,0.3118818451332618,0.37532421418708606,0.49261739843941266,0.41273507093368533,0.6885212625596268,217,35,2,6
